energy_MeV,U235_fission,U235_capture,U238_fission,U238_capture
1.46915,1.22816,0.0848869,0.312839,0.0732822
1.55496,1.23829,0.0806907,0.401659,0.0671919
1.64577,1.24777,0.0762896,0.437377,0.0621068
1.74189,1.25656,0.0721286,0.466309,0.0582626
1.84363,1.26405,0.0666468,0.492917,0.0537509
1.9513,1.26917,0.0614559,0.516271,0.048416
2.06526,1.27089,0.0562904,0.532507,0.0433233
2.18588,1.27,0.0512943,0.538738,0.0381722
2.31355,1.2619,0.0467416,0.538076,0.0339477
2.44867,1.25317,0.042593,0.536192,0.0296868
2.59168,1.24469,0.0379621,0.532984,0.0254328
2.74304,1.22812,0.0334056,0.52865,0.0218336
2.90324,1.21093,0.029396,0.521318,0.0185858
3.07281,1.19393,0.0254033,0.517852,0.0157661
3.25227,1.17735,0.0214157,0.522915,0.0134003
3.44221,1.161,0.0180541,0.529729,0.0109384
3.64325,1.14527,0.0151055,0.536818,0.0089294
3.85603,1.13566,0.0125988,0.543683,0.00708354
4.08124,1.1246,0.0104826,0.548514,0.00546531
4.3196,1.11088,0.00868318,0.549134,0.00426938
